#         X[m]          Y[m]          Z[m]      H[m]     PN
  3818682.4594  3068056.5571  4071183.8593   39.2876    P01
  3795437.4637  3095933.7763  4071752.4798    0.4948    P02
  3765331.5101  3120205.4553  4081175.6225   48.0220    P03
  3740946.8553  3160694.3321  4072603.0763  119.6506    P04
  3716820.0391  3177747.5610  4081169.2055    0.4282    P05
  3692590.0864  3217531.6124  4072106.4692   41.6159    P06
  3795520.0399  3049339.0757  4106767.8865  204.0702    P07
  3778635.3981  3088190.2557  4093144.7237   55.6322    P08
  3761022.8972  3104215.2727  4097239.0930   71.7088    P09
  3734812.3367  3136055.3475  4096858.6613    0.4776    P10
  3706502.7091  3160286.4420  4103894.3342    0.4561    P11
  3676330.6062  3192565.7148  4106033.8336    0.4808    P12
  3779799.6999  3040651.4653  4127202.1847    0.4283    P13
  3758276.9127  3058421.1687  4133676.4746    0.4870    P14
  3735294.7642  3095740.6806  4127017.7547  162.1022    P15
  3712568.7417  3116032.5826  4132019.0088   35.6364    P16
  3681020.5053  3144340.9852  4138693.3087    0.4051    P17
  3655685.3217  3180075.8778  4133879.2646    2.9368    P18
  3761865.5356  3022559.4233  4156684.4015   77.3184    P19
  3737769.8446  3040245.2716  4165454.3209   78.0346    P20
  3713816.1301  3079478.4451  4157985.6467    0.4570    P21
  3687474.3296  3095609.1618  4169500.1616   95.6717    P22
  3658138.9299  3133884.9811  4166640.2545   12.6643    P23
  3636445.7985  3159903.1929  4165977.1865    7.0864    P24
  3735275.2045  3003176.9741  4194162.5612    0.4140    P25
  3713447.4668  3029650.4848  4194590.6983   58.5165    P26
  3691285.9459  3059197.4631  4192630.8351    0.3912    P27
  3661032.2079  3078941.3442  4204698.3900   62.6123    P28
  3638102.1630  3123164.5553  4192035.9732   51.1212    P29
  3622126.9293  3140811.7466  4192613.0865    5.3704    P30
  3713010.0597  2980496.6302  4229716.5312    0.4919    P31
  3689049.1362  3016659.7204  4225073.9001    0.4670    P32
  3667145.7332  3039588.9510  4227893.0995  136.4362    P33
  3646740.0600  3073412.7239  4221106.7041  120.5948    P34
  3627020.4828  3095387.0568  4221852.9088    0.4123    P35
  3599793.7651  3120942.3978  4226536.9634  151.9507    P36
